t,goodput,throttled,offered,type,name
1.001259, 399, 58, 457, server, server
1.001259, 116, 0, 149, client, client_0_150.00
1.001259, 150, 0, 150, client, client_1_150.00
1.001259, 127, 0, 149, client, client_2_150.00
1.001259, 6, 0, 9, client, client_3_10.00
2.001778, 190, 12, 202, server, server
2.001778, 57, 88, 62, client, client_0_150.00
2.001778, 78, 72, 78, client, client_1_150.00
2.001778, 46, 99, 52, client, client_2_150.00
2.001778, 9, 0, 10, client, client_3_10.00
3.003512, 209, 3, 212, server, server
3.003512, 67, 82, 69, client, client_0_150.00
3.003512, 86, 64, 86, client, client_1_150.00
3.003512, 46, 103, 47, client, client_2_150.00
3.003512, 10, 0, 10, client, client_3_10.00
4.007926, 198, 4, 202, server, server
4.007926, 62, 86, 64, client, client_0_150.00
4.007926, 82, 69, 82, client, client_1_150.00
4.007926, 44, 104, 46, client, client_2_150.00
4.007926, 10, 0, 10, client, client_3_10.00
5.008444, 203, 4, 207, server, server
5.008444, 64, 85, 65, client, client_0_150.00
5.008444, 89, 60, 90, client, client_1_150.00
5.008444, 40, 109, 42, client, client_2_150.00
5.008444, 10, 0, 10, client, client_3_10.00
6.010179, 186, 6, 192, server, server
6.010179, 59, 89, 62, client, client_0_150.00
6.010179, 82, 67, 83, client, client_1_150.00
6.010179, 35, 113, 37, client, client_2_150.00
6.010179, 10, 0, 10, client, client_3_10.00
7.014592, 215, 4, 219, server, server
7.014592, 68, 80, 70, client, client_0_150.00
7.014592, 90, 61, 90, client, client_1_150.00
7.014592, 47, 101, 49, client, client_2_150.00
7.014592, 10, 0, 10, client, client_3_10.00
8.015111, 174, 4, 178, server, server
8.015111, 55, 94, 56, client, client_0_150.00
8.015111, 81, 68, 82, client, client_1_150.00
8.015111, 28, 121, 30, client, client_2_150.00
8.015111, 10, 0, 10, client, client_3_10.00
9.016845, 218, 4, 222, server, server
9.016845, 69, 80, 71, client, client_0_150.00
9.016845, 93, 56, 94, client, client_1_150.00
9.016845, 46, 103, 47, client, client_2_150.00
9.016845, 10, 0, 10, client, client_3_10.00
10.021258, 208, 4, 212, server, server
10.021258, 66, 82, 68, client, client_0_150.00
10.021258, 91, 60, 91, client, client_1_150.00
10.021258, 41, 107, 43, client, client_2_150.00
10.021258, 10, 0, 10, client, client_3_10.00
11.021777, 199, 5, 204, server, server
11.021777, 63, 85, 65, client, client_0_150.00
11.021777, 84, 65, 85, client, client_1_150.00
11.021777, 42, 107, 44, client, client_2_150.00
11.021777, 10, 0, 10, client, client_3_10.00
12.023511, 189, 4, 193, server, server
12.023511, 61, 89, 62, client, client_0_150.00
12.023511, 80, 69, 81, client, client_1_150.00
12.023511, 38, 110, 40, client, client_2_150.00
12.023511, 10, 0, 10, client, client_3_10.00
13.027925, 212, 4, 216, server, server
13.027925, 66, 80, 70, client, client_0_150.00
13.027925, 95, 56, 95, client, client_1_150.00
13.027925, 41, 109, 41, client, client_2_150.00
13.027925, 10, 0, 10, client, client_3_10.00
14.028443, 201, 5, 206, server, server
14.028443, 62, 84, 66, client, client_0_150.00
14.028443, 94, 56, 94, client, client_1_150.00
14.028443, 35, 115, 36, client, client_2_150.00
14.028443, 10, 0, 10, client, client_3_10.00
15.030178, 197, 4, 201, server, server
15.030178, 62, 86, 65, client, client_0_150.00
15.030178, 86, 63, 87, client, client_1_150.00
15.030178, 39, 111, 39, client, client_2_150.00
15.030178, 10, 0, 10, client, client_3_10.00
16.034591, 196, 7, 203, server, server
16.034591, 63, 86, 64, client, client_0_150.00
16.034591, 83, 65, 86, client, client_1_150.00
16.034591, 40, 107, 43, client, client_2_150.00
16.034591, 10, 0, 10, client, client_3_10.00
17.035110, 177, 5, 182, server, server
17.035110, 54, 94, 56, client, client_0_150.00
17.035110, 69, 81, 69, client, client_1_150.00
17.035110, 45, 104, 47, client, client_2_150.00
17.035110, 9, 0, 10, client, client_3_10.00
18.036844, 211, 3, 214, server, server
18.036844, 67, 82, 69, client, client_0_150.00
18.036844, 85, 65, 85, client, client_1_150.00
18.036844, 49, 100, 50, client, client_2_150.00
18.036844, 10, 0, 10, client, client_3_10.00
19.041257, 197, 10, 207, server, server
19.041257, 64, 83, 67, client, client_0_150.00
19.041257, 75, 73, 78, client, client_1_150.00
19.041257, 48, 98, 52, client, client_2_150.00
19.041257, 10, 0, 10, client, client_3_10.00
20.041776, 194, 11, 205, server, server
20.041776, 59, 87, 63, client, client_0_150.00
20.041776, 79, 71, 79, client, client_1_150.00
20.041776, 47, 98, 53, client, client_2_150.00
20.041776, 9, 0, 10, client, client_3_10.00
21.043511, 174, 8, 182, server, server
21.043511, 52, 96, 55, client, client_0_150.00
21.043511, 72, 78, 72, client, client_1_150.00
21.043511, 40, 105, 45, client, client_2_150.00
21.043511, 10, 0, 10, client, client_3_10.00
22.047924, 207, 12, 219, server, server
22.047924, 63, 87, 63, client, client_0_150.00
22.047924, 88, 61, 90, client, client_1_150.00
22.047924, 47, 94, 56, client, client_2_150.00
22.047924, 9, 0, 10, client, client_3_10.00
23.048443, 208, 4, 212, server, server
23.048443, 65, 83, 67, client, client_0_150.00
23.048443, 84, 66, 84, client, client_1_150.00
23.048443, 49, 100, 51, client, client_2_150.00
23.048443, 10, 0, 10, client, client_3_10.00
24.050177, 230, 5, 235, server, server
24.050177, 73, 75, 76, client, client_0_150.00
24.050177, 92, 58, 92, client, client_1_150.00
24.050177, 55, 93, 57, client, client_2_150.00
24.050177, 10, 0, 10, client, client_3_10.00
25.054590, 214, 4, 218, server, server
25.054590, 67, 80, 70, client, client_0_150.00
25.054590, 91, 60, 91, client, client_1_150.00
25.054590, 46, 103, 47, client, client_2_150.00
25.054590, 10, 0, 10, client, client_3_10.00
26.055109, 199, 5, 204, server, server
26.055109, 62, 85, 65, client, client_0_150.00
26.055109, 91, 58, 92, client, client_1_150.00
26.055109, 37, 114, 37, client, client_2_150.00
26.055109, 9, 0, 10, client, client_3_10.00
27.056843, 199, 4, 203, server, server
27.056843, 63, 85, 66, client, client_0_150.00
27.056843, 87, 63, 87, client, client_1_150.00
27.056843, 39, 110, 40, client, client_2_150.00
27.056843, 10, 0, 10, client, client_3_10.00
28.061256, 205, 4, 209, server, server
28.061256, 64, 83, 67, client, client_0_150.00
28.061256, 92, 59, 92, client, client_1_150.00
28.061256, 39, 110, 40, client, client_2_150.00
28.061256, 10, 0, 10, client, client_3_10.00
29.061775, 198, 6, 204, server, server
29.061775, 64, 85, 65, client, client_0_150.00
29.061775, 86, 62, 88, client, client_1_150.00
29.061775, 39, 110, 41, client, client_2_150.00
29.061775, 9, 0, 10, client, client_3_10.00
30.063510, 201, 3, 204, server, server
30.063510, 64, 86, 65, client, client_0_150.00
30.063510, 86, 63, 87, client, client_1_150.00
30.063510, 41, 108, 42, client, client_2_150.00
30.063510, 10, 0, 10, client, client_3_10.00
31.067923, 202, 4, 206, server, server
31.067923, 63, 84, 66, client, client_0_150.00
31.067923, 91, 59, 92, client, client_1_150.00
31.067923, 38, 112, 38, client, client_2_150.00
31.067923, 10, 0, 10, client, client_3_10.00
32.068442, 199, 5, 204, server, server
32.068442, 62, 84, 66, client, client_0_150.00
32.068442, 89, 60, 90, client, client_1_150.00
32.068442, 38, 113, 38, client, client_2_150.00
32.068442, 10, 0, 10, client, client_3_10.00
33.070176, 194, 4, 198, server, server
33.070176, 60, 88, 63, client, client_0_150.00
33.070176, 88, 62, 88, client, client_1_150.00
33.070176, 36, 113, 37, client, client_2_150.00
33.070176, 10, 0, 10, client, client_3_10.00
34.074589, 204, 4, 208, server, server
34.074589, 64, 83, 67, client, client_0_150.00
34.074589, 84, 67, 84, client, client_1_150.00
34.074589, 46, 103, 47, client, client_2_150.00
34.074589, 10, 0, 10, client, client_3_10.00
35.075108, 207, 5, 212, server, server
35.075108, 65, 82, 68, client, client_0_150.00
35.075108, 94, 56, 94, client, client_1_150.00
35.075108, 38, 111, 40, client, client_2_150.00
35.075108, 10, 0, 10, client, client_3_10.00
36.076842, 193, 4, 197, server, server
36.076842, 61, 88, 63, client, client_0_150.00
36.076842, 87, 63, 87, client, client_1_150.00
36.076842, 36, 113, 37, client, client_2_150.00
36.076842, 9, 0, 10, client, client_3_10.00
37.081256, 199, 4, 203, server, server
37.081256, 62, 86, 64, client, client_0_150.00
37.081256, 88, 62, 89, client, client_1_150.00
37.081256, 39, 110, 40, client, client_2_150.00
37.081256, 10, 0, 10, client, client_3_10.00
38.081774, 209, 5, 214, server, server
38.081774, 66, 81, 69, client, client_0_150.00
38.081774, 94, 56, 94, client, client_1_150.00
38.081774, 40, 110, 41, client, client_2_150.00
38.081774, 9, 0, 10, client, client_3_10.00
39.082367, 198, 4, 202, server, server
39.082367, 62, 85, 65, client, client_0_150.00
39.082367, 88, 62, 88, client, client_1_150.00
39.082367, 37, 112, 38, client, client_2_150.00
39.082367, 11, 0, 11, client, client_3_10.00
40.083509, 198, 4, 202, server, server
40.083509, 62, 86, 65, client, client_0_150.00
40.083509, 83, 67, 83, client, client_1_150.00
40.083509, 43, 106, 44, client, client_2_150.00
40.083509, 10, 0, 10, client, client_3_10.00
41.087922, 202, 4, 206, server, server
41.087922, 64, 85, 65, client, client_0_150.00
41.087922, 91, 60, 91, client, client_1_150.00
41.087922, 38, 110, 40, client, client_2_150.00
41.087922, 9, 0, 10, client, client_3_10.00
42.088441, 199, 5, 204, server, server
42.088441, 63, 85, 65, client, client_0_150.00
42.088441, 86, 64, 86, client, client_1_150.00
42.088441, 40, 108, 43, client, client_2_150.00
42.088441, 10, 0, 10, client, client_3_10.00
43.090175, 201, 4, 205, server, server
