t,goodput,throttled,offered,type,name
1.000955, 399, 59, 458, server, server
1.000955, 116, 0, 150, client, client_0_150.00
1.000955, 149, 0, 149, client, client_1_150.00
1.000955, 127, 0, 150, client, client_2_150.00
1.000955, 7, 0, 9, client, client_3_10.00
2.003007, 140, 98, 238, server, server
2.003007, 19, 75, 75, client, client_0_150.00
2.003007, 77, 74, 77, client, client_1_150.00
2.003007, 38, 74, 76, client, client_2_150.00
2.003007, 6, 0, 10, client, client_3_10.00
3.004104, 255, 7, 262, server, server
3.004104, 84, 66, 84, client, client_0_150.00
3.004104, 81, 67, 83, client, client_1_150.00
3.004104, 80, 66, 85, client, client_2_150.00
3.004104, 10, 0, 10, client, client_3_10.00
4.007621, 203, 10, 213, server, server
4.007621, 64, 83, 68, client, client_0_150.00
4.007621, 66, 83, 67, client, client_1_150.00
4.007621, 63, 82, 68, client, client_2_150.00
4.007621, 10, 0, 10, client, client_3_10.00
5.009673, 204, 11, 215, server, server
5.009673, 66, 83, 67, client, client_0_150.00
5.009673, 67, 82, 69, client, client_1_150.00
5.009673, 62, 81, 69, client, client_2_150.00
5.009673, 9, 0, 10, client, client_3_10.00
6.010770, 200, 255, 455, server, server
6.010770, 150, 0, 150, client, client_0_150.00
6.010770, 50, 0, 150, client, client_1_150.00
6.010770, 0, 0, 151, client, client_2_150.00
6.010770, 0, 6, 4, client, client_3_10.00
7.014287, 163, 105, 268, server, server
7.014287, 103, 48, 103, client, client_0_150.00
7.014287, 22, 102, 48, client, client_1_150.00
7.014287, 35, 40, 110, client, client_2_150.00
7.014287, 3, 3, 7, client, client_3_10.00
8.016340, 237, 7, 244, server, server
8.016340, 75, 73, 77, client, client_0_150.00
8.016340, 78, 73, 78, client, client_1_150.00
8.016340, 74, 71, 79, client, client_2_150.00
8.016340, 10, 0, 10, client, client_3_10.00
9.017437, 200, 9, 209, server, server
9.017437, 64, 83, 67, client, client_0_150.00
9.017437, 63, 84, 66, client, client_1_150.00
9.017437, 63, 85, 66, client, client_2_150.00
9.017437, 10, 0, 10, client, client_3_10.00
